year,yearly_total
1982,5
1985,10
1986,9
1987,9
1988,12
1989,14
1990,17
1991,18
1992,14
1993,12
1994,8
1995,19
1996,13
1997,13
1998,18
1999,15
2000,19
2001,28
2002,59
2003,82
2004,119
2005,122
2006,183
2007,221
2008,219
2009,253
2010,249
2011,422
2012,762
2013,1154
2014,1586
2015,1668
2016,1910
2017,2176
2018,2559
2019,3051
